"Record ID","Item type","Content type","ISSN","Languages","Library of Congress classifications","Dewey classifications","Title","Other titles","Creators/Contributors","Publisher","Country of publication","Journal","Publication frequency","Year","Volume","Part/Number","Issue","Supplement","Season/Month","Start page","End page","Citation","British Library shelfmark"
"(Uk)EN000561290","article","text","0031-0182","","QE500","560.45","A mid-Permian chert event: widespread deposition of biogenic siliceous sediments in coastal, island arc and oceanic basins","","Jones, D. L. ; Murchey, B. L.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","1/2","","","","161","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(1/2), 161. (1992)","6343.450000"
"(Uk)EN001027360","article","text","0377-8398","","QE719","560","Late Pleistocene stratigraphy and micropaleontology of a part of the Eurasian Basin (=Fram Basin), central Arctic Ocean","","Blasco, S. M. ; Clark, D. L. ; Pak, D. K.","","Netherlands","MARINE MICROPALAEONTOLOGY","4 issues per year","1992","20","1","","","","1","","MARINE MICROPALAEONTOLOGY 20(1), 1. (1992)","5376.400000"
"(Uk)EN001027372","article","text","0377-8398","","QE719","560","Pliocene paleoclimatic interpretation of DSDP Site 580 (NW Pacific) using diatoms","","Barron, J. A.","","Netherlands","MARINE MICROPALAEONTOLOGY","4 issues per year","1992","20","1","","","","23","","MARINE MICROPALAEONTOLOGY 20(1), 23. (1992)","5376.400000"
"(Uk)EN001027384","article","text","0377-8398","","QE719","560","Correlation of Bolboforma zonation and nannoplankton stratigraphy in the Neogene of the North Atlantic: DSDP Sites 12-116, 49-408, 81-555 and 94-608","","Mueller, C. ; Spiegler, D.","","Netherlands","MARINE MICROPALAEONTOLOGY","4 issues per year","1992","20","1","","","","45","","MARINE MICROPALAEONTOLOGY 20(1), 45. (1992)","5376.400000"
"(Uk)EN001027396","article","text","0377-8398","","QE719","560","Late Pliocene climate in the Southeast Atlantic: Preliminary results from a multi-disciplinary study of DSDP Site 532","","Hall, M. A. ; Heusser, L. ; Sancetta, C.","","Netherlands","MARINE MICROPALAEONTOLOGY","4 issues per year","1992","20","1","","","","59","","MARINE MICROPALAEONTOLOGY 20(1), 59. (1992)","5376.400000"
"(Uk)EN001027402","article","text","0377-8398","","QE719","560","Nannofossil diversity and equitability and fine-fraction δ¹³C across the Cretaceous/Tertiary boundary at Walvis Ridge Leg 74, South Atlantic","","Alcala-Herrera, J. A. ; Gartner, S. ; Grossman, E. L.","","Netherlands","MARINE MICROPALAEONTOLOGY","4 issues per year","1992","20","1","","","","77","","MARINE MICROPALAEONTOLOGY 20(1), 77. (1992)","5376.400000"
"(Uk)EN001077053","article","text","0031-0182","","QE500","560.45","Environments and palynofacies of a Dinantian (Carboniferous) littoral sequence: the basal part of the Navan Group, Navan, County Meath, Ireland","","McNestry, A. ; Rees, J. G.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","3/4","","","","175","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(3/4), 175. (1992)","6343.450000"
"(Uk)EN001077065","article","text","0031-0182","","QE500","560.45","Multikilometer-sized reefs built by foraminifera (Solenomeris) from the early Eocene of the Pyrenean domain (S. France, N. Spain): Palaeoecologic relations with coral reefs","","Perrin, C. ; Plaziat, J.-C.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","3/4","","","","195","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(3/4), 195. (1992)","6343.450000"
"(Uk)EN001077077","article","text","0031-0182","","QE500","560.45","Stable isotope and foraminiferal changes across the Cretaceous-Tertiary boundary at Stevns Klint, Denmark: Arguments for long-term oceanic instability before and after bolide-impact event","","Keller, G. ; Schmitz, B. ; Stenvall, O.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","3/4","","","","233","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(3/4), 233. (1992)","6343.450000"
"(Uk)EN001077089","article","text","0031-0182","","QE500","560.45","Depositional facies, palaeogeography and palaeoclimatology of the Lower Jurassic McCoy Brook Formation, Fundy rift basin, Nova Scotia","","Hubert, J. F. ; Tanner, L. H.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","3/4","","","","261","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(3/4), 261. (1992)","6343.450000"
"(Uk)EN001077090","article","text","0031-0182","","QE500","560.45","Repartition de la sedimentation dans le golfe Proterozoique superieur du Schisto-calcaire au Congo et Gabon. Implications en Afrique centrale","","Alvarez, P.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","3/4","","","","281","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(3/4), 281. (1992)","6343.450000"
"(Uk)EN001077107","article","text","0031-0182","","QE500","560.45","Palaeoclimatic interpretation of the wood structures of the trees in the Chinle Formation (Upper Triassic), Petrified Forest National Park, Arizona, USA","","Ash, S. R. ; Creber, G. T.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","3/4","","","","299","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(3/4), 299. (1992)","6343.450000"
"(Uk)EN001077119","article","text","0031-0182","","QE500","560.45","Some comments upon: Palaeozoic oolitic ironstones on the North American Craton (Van Houten, 1990)","","Evans, G.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","3/4","","","","319","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(3/4), 319. (1992)","6343.450000"
"(Uk)EN001176377","article","text","0094-8373","","QE701","560","Postmortem changes in strength of gastropod shells: evolutionary implications for hermit crabs, snails, and their mutual predators","","LaBarbera, M. ; Merz, R. A.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1992","18","4","","","","367","","PALEOBIOLOGY -CHICAGO 18(4), 367. (1992)","6345.280000"
"(Uk)EN001176389","article","text","0094-8373","","QE701","560","Dickinsonia as a polypoid organism","","Valentine, J. W.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1992","18","4","","","","378","","PALEOBIOLOGY -CHICAGO 18(4), 378. (1992)","6345.280000"
"(Uk)EN001176390","article","text","0094-8373","","QE701","560","Middle Miocene fossil plants from Fort Ternan (Kenya) and evolution of African grasslands","","Retallack, G. J.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1992","18","4","","","","383","","PALEOBIOLOGY -CHICAGO 18(4), 383. (1992)","6345.280000"
"(Uk)EN001176407","article","text","0094-8373","","QE701","560","A review of the fossil seabirds from the Tertiary of the North Pacific: plate tectonics, paleoceanography, and faunal change","","Warheit, K. I.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1992","18","4","","","","401","","PALEOBIOLOGY -CHICAGO 18(4), 401. (1992)","6345.280000"
"(Uk)EN001176419","article","text","0094-8373","","QE701","560","Nonprogressive evolution in a clade of Cretaceous Montastraea-like corals","","Budd, A. F. ; Coates, A. G.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1992","18","4","","","","425","","PALEOBIOLOGY -CHICAGO 18(4), 425. (1992)","6345.280000"
"(Uk)EN001176420","article","text","0094-8373","","QE701","560","Flight characteristics of Triassic and Jurassic Pterosauria: an appraisal based on wing shape","","Hazlehurst, G. A. ; Rayner, J. M. V.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1992","18","4","","","","447","","PALEOBIOLOGY -CHICAGO 18(4), 447. (1992)","6345.280000"
"(Uk)EN001176432","article","text","0094-8373","","QE701","560","Functional analysis of archaeocyathan skeletal morphology and its paleobiological implications","","Savarese, M.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1992","18","4","","","","464","","PALEOBIOLOGY -CHICAGO 18(4), 464. (1992)","6345.280000"
"(Uk)EN001368540","article","text","0031-0182","","QE500","560.45","Defining the EOS mission: Part 1-reports from disciplinary science panels","","Barron, E. J.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","1","","","","125","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(1), 125. (1992)","6343.450000"
"(Uk)EN001368552","article","text","0031-0182","","QE500","560.45","Mission to Planet Earth: Earth Observing System","","Asrar, G. ; Butler, D. M. ; Tilford, S. G.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","1","","","","3","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(1), 3. (1992)","6343.450000"
"(Uk)EN001368564","article","text","0031-0182","","QE500","560.45","Atmospheres Panel Report to the Payload Panel","","Pfaendtner, J. ; Rood, R. ; Schoeberl, M. ; Thompson, A.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","1","","","","9","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(1), 9. (1992)","6343.450000"
"(Uk)EN001368576","article","text","0031-0182","","QE500","560.45","Report of the EOS Oceans Panel to the Payload Panel","","Abbott, M. R. ; Freilich, M. H.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","1","","","","25","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(1), 25. (1992)","6343.450000"
"(Uk)EN001368588","article","text","0031-0182","","QE500","560.45","Solid earth science in EOS-Report of the Solid Earth Panel","","Isacks, B. L. ; Moughinis-Mark, P.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","1","","","","29","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(1), 29. (1992)","6343.450000"
"(Uk)EN001368590","article","text","0031-0182","","QE500","560.45","Simulations of continental ice sheet growth over the last glacial-interglacial cycle: experiments with a one level seasonal energy balance model including seasonal ice albedo feedback","","Deblonde, G. ; Hyde, W. T. ; Peltier, W. R.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","1","","","","37","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(1), 37. (1992)","6343.450000"
"(Uk)EN001368606","article","text","0031-0182","","QE500","560.45","The Fourier spectrum of Swedish riverine varves: evidence of sub-arctic quasi-biennial (QBO) oscillations","","Moerner, N.-A. ; Sonett, C. P. ; Williams, C. R.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","1","","","","57","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(1), 57. (1992)","6343.450000"
"(Uk)EN002194156","article","text","0031-0182","","QE500","560.45","Composition of inland waters with marine-like fauna and inferences for a Miocehe lake in Spain","","Anadon, P.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","99","1/2","","","","1","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 99(1/2), 1. (1992)","6343.450000"
"(Uk)EN002194168","article","text","0031-0182","","QE500","560.45","Early Silurian glaciations in Brazil","","Caputo, M. V. ; Grahn, Y.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","99","1/2","","","","9","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 99(1/2), 9. (1992)","6343.450000"
"(Uk)EN002194170","article","text","0031-0182","","QE500","560.45","Terrestrial palaeoclimatology in the Tertiary: a methodological critique","","Mosbrugger, V. ; Schilling, H.-D.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","99","1/2","","","","17","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 99(1/2), 17. (1992)","6343.450000"
"(Uk)EN002194181","article","text","0031-0182","","QE500","560.45","Taphonomy of a middle Miocene autochthonous forest assemblage, Ngorora Formation, central Kenya","","Jacobs, B. F. ; Winkler, D. A.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","99","1/2","","","","31","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 99(1/2), 31. (1992)","6343.450000"
"(Uk)EN002194193","article","text","0031-0182","","QE500","560.45","Holocene raised beaches along the northern coast of the Beagle Channel, Tierra del Fuego, Argentina","","Bujalesky, G. G. ; Gordillo, S. ; Pirazzoli, P. A. ; Rabassa, J. O.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","99","1/2","","","","41","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 99(1/2), 41. (1992)","6343.450000"
"(Uk)EN002194200","article","text","0031-0182","","QE500","560.45","The disappearance of the 'Ammonitico Rosso'","","Azema, J. ; Cecca, F. ; Fourcade, E.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","99","1/2","","","","55","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 99(1/2), 55. (1992)","6343.450000"
"(Uk)EN002194211","article","text","0031-0182","","QE500","560.45","Lapse rates and other variables applied to estimating paleoaltitudes from fossil floras","","Meyer, H. W.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","99","1/2","","","","71","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 99(1/2), 71. (1992)","6343.450000"
"(Uk)EN002194223","article","text","0031-0182","","QE500","560.45","Palaeogeographical significance of the Triassic-Jurassic unconformity in the north Iberian basin (Sierra del Moncayo, Spain)","","Aurell, M. ; San Roman, J.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","99","1/2","","","","101","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 99(1/2), 101. (1992)","6343.450000"
"(Uk)EN002194235","article","text","0031-0182","","QE500","560.45","Variation of coastal dynamics during the last 7000 years recorded in beach-ridge plains associated with river mouths: example from the central Brazilian coast","","Martin, L. ; Suguio, K.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","99","1/2","","","","119","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 99(1/2), 119. (1992)","6343.450000"
"(Uk)EN002194247","article","text","0031-0182","","QE500","560.45","Isotopic analysis of equid teeth from Wonderwerk Cave, northern Cape Province, South Africa","","Lee-Thorp, J. A. ; Thackeray, J. F.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","99","1/2","","","","141","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 99(1/2), 141. (1992)","6343.450000"
"(Uk)EN002194259","article","text","0031-0182","","QE500","560.45","Oceanic anoxia at the Cretaceous/Tertiary boundary supported by the sulfur isotopic record","","Kaiho, K. ; Kajiwara, Y.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","99","1/2","","","","151","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 99(1/2), 151. (1992)","6343.450000"
"(Uk)EN002194260","article","text","0031-0182","","QE500","560.45","Organic-rich biolaminated facies from a Kimmeridgian lagoonal environment in the French Southern Jura mountains-A way of estimating accumulation rate variations","","Belin, S. ; Gorin, G. E. ; Hopfgartner, G. ; Tribovillard, N.-P.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","99","1/2","","","","163","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 99(1/2), 163. (1992)","6343.450000"
"(Uk)EN002230744","article","text","0031-0182","","QE500","560.45","Inferring past climate change from subsurface temperature profiles: some problems and methods","Climatic Change Inferred From Underground Temperatures","Beck, A. E.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","73","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 73. (1992)","6343.450000"
"(Uk)EN002230756","article","text","0031-0182","","QE500","560.45","The extent of temporal smearing in surface-temperature histories derived from borehole temperature measurements","Climatic Change Inferred From Underground Temperatures","Clow, G. D.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","81","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 81. (1992)","6343.450000"
"(Uk)EN002230768","article","text","0031-0182","","QE500","560.45","Influence of terrain on bedrock temperatures","Climatic Change Inferred From Underground Temperatures","Lewis, T. J. ; Wang, K.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","87","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 87. (1992)","6343.450000"
"(Uk)EN002230770","article","text","0031-0182","","QE500","560.45","A comparison of five different analyses in the interpretation of five borehole temperature data sets","Climatic Change Inferred From Underground Temperatures","Beck, A. E. ; Beltrami, H. ; Mareschal, J.-C. ; Shen, P. Y.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","101","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 101. (1992)","6343.450000"
"(Uk)EN002230781","article","text","0031-0182","","QE500","560.45","A comparative study of inverse methods for estimating climatic history from borehole temperature data","Climatic Change Inferred From Underground Temperatures","Beltrami, H. ; Mareschal, J.-C. ; Shen, P. Y. ; Wang, K.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","113","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 113. (1992)","6343.450000"
"(Uk)EN002230793","article","text","0031-0182","","QE500","560.45","Climatic changes in central and eastern Canada inferred from deep borehole temperature data","Climatic Change Inferred From Underground Temperatures","Jessop, A. M. ; Lewis, T. J. ; Wang, K.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","129","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 129. (1992)","6343.450000"
"(Uk)EN002230800","article","text","0031-0182","","QE500","560.45","Paleoclimate change and heat flow density inferred from temperature data in the Superior Province of the Canadian Shield","Climatic Change Inferred From Underground Temperatures","Beck, A. E. ; Shen, P. Y.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","143","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 143. (1992)","6343.450000"
"(Uk)EN002230811","article","text","0031-0182","","QE500","560.45","Ground temperature histories in eastern and central Canada from geothermal measurements: evidence of climatic change","Climatic Change Inferred From Underground Temperatures","Beltrami, H. ; Jessop, A. M. ; Mareschal, J.-C.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","167","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 167. (1992)","6343.450000"
"(Uk)EN002230823","article","text","0031-0182","","QE500","560.45","Ground temperature history from two deep boreholes in Central France","Climatic Change Inferred From Underground Temperatures","Mareschal, J.-C. ; Vasseur, G.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","185","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 185. (1992)","6343.450000"
"(Uk)EN002230835","article","text","0031-0182","","QE500","560.45","An attempt to interpret the temperature profile of the KTB pilot drillhole (Germany) by paleoclimatic considerations","Climatic Change Inferred From Underground Temperatures","Rybach, L.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","193","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 193. (1992)","6343.450000"
"(Uk)EN002230847","article","text","0031-0182","","QE500","560.45","Evidence of ground surface temperature changes from two boreholes in the Bohemian Massif","Climatic Change Inferred From Underground Temperatures","Kubik, J. ; Safanda, J.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","199","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 199. (1992)","6343.450000"
"(Uk)EN002230859","article","text","0031-0182","","QE500","560.45","Recent warming in southeastern Zaire (Central Africa) inferred from disturbed geothermal gradients","Climatic Change Inferred From Underground Temperatures","Louis, P. ; Sebagenzi, M. N. ; Vasseur, G.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","209","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 209. (1992)","6343.450000"
"(Uk)EN002230860","article","text","0031-0182","","QE500","560.45","Recent climate change recorded in the underground: evidence from Cuba","Climatic Change Inferred From Underground Temperatures","Bodri, L. ; Cermak, V. ; Safanda, J.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","219","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 219. (1992)","6343.450000"
"(Uk)EN002230872","article","text","0031-0182","","QE500","560.45","Surface-temperature history during the last 1000 years near Prudhoe Bay, Alaska: applying control theory to the inversion of borehole temperature profiles","Climatic Change Inferred From Underground Temperatures","Kakuta, S.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","98","2/4","","","","225","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 98(2/4), 225. (1992)","6343.450000"
